source_name,time(MJD),src_raj,f_range(MHz),RFI(MHz)
Unknown,58947.68763888889,4h08m27.24s,"(856.0, 1712.0)","[[935.3360811724904, 946.8855189192981], [1170.8275111371386, 1170.8275111371386], [1182.0026194425914, 1182.0026194425914], [1203.3310405348002, 1210.8791222185484], [1263.8244094852753, 1280.234981007154], [1526.7042341306385, 1562.2699873100469], [1574.0440565937986, 1576.809048218049], [1589.2709475852018, 1591.594906646385], [1622.7859183908756, 1623.787442788302]]"
Unknown,58947.68729166667,4h08m27.24s,"(856.0, 1712.0)","[[935.3759067127401, 946.8861174991758], [1170.5527713355912, 1170.5527713355912], [1182.2057187934572, 1182.2057187934572], [1203.266538055274, 1210.3145712549435], [1227.0983432192613, 1228.0828262429118], [1247.8880561047795, 1248.5098169945784], [1263.3865824968702, 1263.3865824968702], [1273.571236376568, 1278.8247351417147], [1526.7003484918603, 1562.1995099111737], [1573.9902583919059, 1576.8790686410985], [1589.2366977544707, 1598.1151495566596]]"
Unknown,58934.76798611111,4h08m27.8s,"(856.0, 1712.0)","[[875.1672005595368, 875.1672005595368], [920.0261214337795, 927.3494490707877], [963.1090919614957, 963.1090919614957], [1016.6030327043875, 1016.6030327043875], [1061.5770127065812, 1062.7641137226442], [1147.5884666483057, 1148.2933900378441], [1339.6339136192069, 1341.1799871668982], [1387.5048468395737, 1395.6640189585182], [1608.3673151593744, 1632.7075600068529], [1650.1105805445657, 1650.1105805445657]]"
Unknown,58934.762083333335,4h08m27.8s,"(856.0, 1712.0)","[[869.4192407346742, 869.4192407346742], [920.1364257210779, 921.910722463604], [963.1741170065649, 963.1741170065649], [1016.5857103882249, 1016.5857103882249], [1073.2440796854619, 1073.2440796854619], [1293.4736978180993, 1293.4736978180993], [1305.8885317133831, 1305.8885317133831], [1319.4505429499889, 1322.653681103577], [1339.9754731227904, 1340.8137668999295], [1357.9899260485074, 1364.7389525658004], [1385.9113426420809, 1385.9113426420809], [1397.2207528286485, 1397.2207528286485], [1612.362657846474, 1632.5690621371973], [1650.0111838531923, 1650.0111838531923]]"
Unknown,58934.76162037037,8h36m01.93s,"(856.0, 1712.0)","[[869.4758424982305, 869.4758424982305], [920.1368483177423, 921.2772363087469], [963.1778188074437, 963.1778188074437], [1016.5842722748627, 1016.5842722748627], [1073.4597038351044, 1074.0338518714993], [1294.544378558608, 1304.1476967843073], [1319.5770331265596, 1322.6942274600462], [1339.9532802701287, 1340.871640547454], [1358.0255971378426, 1364.5860155658766], [1386.6959091551207, 1396.4670575667847], [1608.7077135578204, 1632.5640242378406], [1650.0066671453565, 1650.0066671453565]]"
Unknown,58934.750925925924,4h08m27.8s,"(856.0, 1712.0)","[[883.3379012387906, 883.3379012387906], [907.1665060551909, 907.1665060551909], [932.6998492061639, 932.6998492061639], [963.1005443930094, 963.1005443930094], [1016.6075458320244, 1016.6075458320244], [1067.7990313123262, 1068.6238305086702], [1147.576932674581, 1148.3154873627234], [1295.8261018285136, 1303.7570567231103], [1322.1104703333629, 1324.0578613502075], [1339.953857695873, 1340.870937779988], [1359.1004356138496, 1362.5279780255137], [1385.7709446763192, 1385.7709446763192], [1397.4489778560653, 1397.4489778560653], [1549.1796030087733, 1554.0896478817472], [1608.1687716108092, 1632.652507674584], [1649.9739600569364, 1649.9739600569364]]"
Unknown,58934.74623842593,4h08m27.8s,"(856.0, 1712.0)","[[877.8573287820311, 877.8573287820311], [910.2943719824998, 910.2943719824998], [929.7170384970827, 929.7170384970827], [963.0999476821119, 963.0999476821119], [1016.6145108166008, 1016.6145108166008], [1065.3426331995195, 1066.3278571370447], [1294.5938876094617, 1304.2624654555264], [1322.0678553905757, 1323.9957280101173], [1339.6358793969005, 1341.1641486938013], [1358.9024196959938, 1363.8561937260822], [1385.849184629468, 1385.849184629468], [1397.1609066623043, 1397.1609066623043], [1476.4609447749253, 1479.2175847772621], [1607.9440393672892, 1632.5634894137197], [1649.99883787396, 1649.99883787396]]"
Unknown,58934.745787037034,8h36m01.93s,"(856.0, 1712.0)","[[939.2380815811126, 939.2380815811126], [963.0631086255275, 963.0631086255275], [1016.6453916838466, 1016.6453916838466], [1051.799190287534, 1052.6773156387062], [1295.1207475379558, 1303.7461387159951], [1322.2695270957847, 1322.531776006569], [1339.8954236457885, 1340.89754019813], [1359.50428021559, 1362.2888332964483], [1386.4961296323243, 1386.4961296323243], [1396.8562017744, 1396.8562017744], [1612.182455534257, 1632.5598888101729], [1650.0182908321362, 1650.0182908321362]]"
Unknown,58934.733252314814,8h36m01.93s,"(856.0, 1712.0)","[[880.5395775415634, 880.5395775415634], [906.6267111435742, 906.6267111435742], [931.0690930122051, 931.0690930122051], [963.0904854539875, 963.0904854539875], [1016.6105854102021, 1016.6105854102021], [1066.0253316865358, 1066.3382897262215], [1147.5649184933695, 1148.3339491054412], [1288.364506960617, 1304.8368284051437], [1340.017200651132, 1340.7980672644205], [1360.2430935351226, 1361.368462296429], [1386.3826216177922, 1386.3826216177922], [1397.179850489603, 1397.179850489603], [1608.155596492803, 1632.6339377140077], [1649.981700954333, 1649.981700954333]]"
Unknown,58934.73275462963,4h08m27.81s,"(856.0, 1712.0)","[[933.6395132039571, 933.6395132039571], [963.101925292926, 963.101925292926], [1016.6111546880427, 1016.6111546880427], [1067.3509150012974, 1069.2111849415223], [1147.5800567728284, 1148.309866308242], [1296.0963563988348, 1301.6211468464037], [1360.2504768509948, 1361.3684889938725], [1390.916805638889, 1392.3823182691162], [1607.970810309394, 1632.718594733423], [1649.9937288709307, 1649.9937288709307]]"
